ID,Warehouse_block,Region,Manager,Cost_of_the_Product
242,F,Central,Eve,140
243,A,North,Alice,135
244,B,East,Bob,136
245,C,South,Carol,142
246,F,Central,Eve,154
247,D,West,David,139
248,F,Central,Eve,160
249,A,North,Alice,134
250,B,East,Bob,161
251,C,South,Carol,155
252,F,Central,Eve,145
253,D,West,David,157
254,F,Central,Eve,160
255,A,North,Alice,152
256,B,East,Bob,148
257,C,South,Carol,127
258,F,Central,Eve,129
259,D,West,David,158
260,F,Central,Eve,147
261,A,North,Alice,159
262,B,East,Bob,151
263,C,South,Carol,294
264,F,Central,Eve,226
265,D,West,David,271
266,F,Central,Eve,203
267,A,North,Alice,264
268,B,East,Bob,258
269,C,South,Carol,241
270,F,Central,Eve,208
271,D,West,David,209
272,F,Central,Eve,182
273,A,North,Alice,148
274,B,East,Bob,183
275,C,South,Carol,229
276,F,Central,Eve,115
277,D,West,David,136
278,F,Central,Eve,212
279,A,North,Alice,171
280,B,East,Bob,151
281,C,South,Carol,205
282,F,Central,Eve,147
283,D,West,David,155
284,F,Central,Eve,165
285,A,North,Alice,230
286,B,East,Bob,181
287,C,South,Carol,234
288,F,Central,Eve,149
289,D,West,David,156
290,F,Central,Eve,172
291,A,North,Alice,270
292,B,East,Bob,206
293,C,South,Carol,211
294,F,Central,Eve,136
295,D,West,David,186
296,F,Central,Eve,202
297,A,North,Alice,183
298,B,East,Bob,232
299,C,South,Carol,147
300,F,Central,Eve,136
301,D,West,David,127
302,F,Central,Eve,202
303,A,North,Alice,241
304,B,East,Bob,222
305,C,South,Carol,183
306,F,Central,Eve,249
307,D,West,David,243
308,F,Central,Eve,163
309,A,North,Alice,165
310,B,East,Bob,266
311,C,South,Carol,193
312,F,Central,Eve,154
313,D,West,David,140
314,F,Central,Eve,272
315,A,North,Alice,143
316,B,East,Bob,138
317,C,South,Carol,238
318,F,Central,Eve,273
319,D,West,David,200
320,F,Central,Eve,213
321,A,North,Alice,224
322,B,East,Bob,141
323,C,South,Carol,150
324,F,Central,Eve,192
325,D,West,David,279
326,F,Central,Eve,246
327,A,North,Alice,173
328,B,East,Bob,233
329,C,South,Carol,274
330,F,Central,Eve,243
331,D,West,David,197
332,F,Central,Eve,140
333,A,North,Alice,215
334,B,East,Bob,211
335,C,South,Carol,220
336,F,Central,Eve,194
337,D,West,David,262
338,F,Central,Eve,201
339,A,North,Alice,261
340,B,East,Bob,191
341,C,South,Carol,255
342,F,Central,Eve,169
343,D,West,David,162
344,F,Central,Eve,248
345,A,North,Alice,197
346,B,East,Bob,264
347,C,South,Carol,260
348,F,Central,Eve,186
349,D,West,David,233
350,F,Central,Eve,161
351,A,North,Alice,188
352,B,East,Bob,171
353,C,South,Carol,267
354,F,Central,Eve,255
355,D,West,David,132
356,F,Central,Eve,266
357,A,North,Alice,198
358,B,East,Bob,247
359,C,South,Carol,140
360,F,Central,Eve,131
361,D,West,David,246
362,F,Central,Eve,159
363,A,North,Alice,203
364,B,East,Bob,187
365,C,South,Carol,146
366,F,Central,Eve,234
367,D,West,David,122
368,F,Central,Eve,135
369,A,North,Alice,103
370,B,East,Bob,257
371,C,South,Carol,169
372,F,Central,Eve,159
373,D,West,David,188
374,F,Central,Eve,136
375,A,North,Alice,227
376,B,East,Bob,262
377,C,South,Carol,157
378,F,Central,Eve,238
379,D,West,David,152
380,F,Central,Eve,201
381,A,North,Alice,148
382,B,East,Bob,199
383,C,South,Carol,215
384,F,Central,Eve,175
385,D,West,David,236
386,F,Central,Eve,182
387,A,North,Alice,251
388,B,East,Bob,173
389,C,South,Carol,225
390,F,Central,Eve,167
391,D,West,David,259
392,F,Central,Eve,178
393,A,North,Alice,178
394,B,East,Bob,169
395,C,South,Carol,272
396,F,Central,Eve,183
397,D,West,David,205
398,F,Central,Eve,123
399,A,North,Alice,152
400,B,East,Bob,220
401,C,South,Carol,134
402,F,Central,Eve,217
403,D,West,David,265
404,F,Central,Eve,249
405,A,North,Alice,213
406,B,East,Bob,124
407,C,South,Carol,180
408,F,Central,Eve,193
409,D,West,David,192
410,F,Central,Eve,166
411,A,North,Alice,264
412,B,East,Bob,200
413,C,South,Carol,142
414,F,Central,Eve,215
415,D,West,David,218
416,F,Central,Eve,115
417,A,North,Alice,159
418,B,East,Bob,133
419,C,South,Carol,178
420,F,Central,Eve,134
421,D,West,David,184
422,F,Central,Eve,251
423,A,North,Alice,141
424,B,East,Bob,229
425,C,South,Carol,203
426,F,Central,Eve,158
427,D,West,David,167
428,F,Central,Eve,197
429,A,North,Alice,140
430,B,East,Bob,205
431,C,South,Carol,208
432,F,Central,Eve,96
433,D,West,David,205
434,F,Central,Eve,215
435,A,North,Alice,216
436,B,East,Bob,112
437,C,South,Carol,222
438,F,Central,Eve,186
439,D,West,David,241
440,F,Central,Eve,172
441,A,North,Alice,251
442,B,East,Bob,190
443,C,South,Carol,186
444,F,Central,Eve,207
445,D,West,David,135
446,F,Central,Eve,189
447,A,North,Alice,173
448,B,East,Bob,194
449,C,South,Carol,183
450,F,Central,Eve,140
451,D,West,David,244
452,F,Central,Eve,189
453,A,North,Alice,157
454,B,East,Bob,275
455,C,South,Carol,133
456,F,Central,Eve,149
457,D,West,David,254
458,F,Central,Eve,145
459,A,North,Alice,179
460,B,East,Bob,168
461,C,South,Carol,202
462,F,Central,Eve,220
463,D,West,David,244
464,F,Central,Eve,186
465,A,North,Alice,263
466,B,East,Bob,294
467,C,South,Carol,226
468,F,Central,Eve,173
469,D,West,David,194
470,F,Central,Eve,183
471,A,North,Alice,140
472,B,East,Bob,244
473,C,South,Carol,189
474,F,Central,Eve,157
475,D,West,David,275
476,F,Central,Eve,133
477,A,North,Alice,149
478,B,East,Bob,254
479,C,South,Carol,145
480,F,Central,Eve,179
481,D,West,David,168
482,F,Central,Eve,202
483,A,North,Alice,220
484,B,East,Bob,244
485,C,South,Carol,186
486,F,Central,Eve,263
487,D,West,David,294
488,F,Central,Eve,139
489,A,North,Alice,192
490,B,East,Bob,235
491,C,South,Carol,176
492,F,Central,Eve,224
493,D,West,David,128
494,F,Central,Eve,226
495,A,North,Alice,160
496,B,East,Bob,197
497,C,South,Carol,216
498,F,Central,Eve,199
499,D,West,David,271
500,F,Central,Eve,201
501,A,North,Alice,212
502,B,East,Bob,177
503,C,South,Carol,191
504,F,Central,Eve,174
505,D,West,David,162
506,F,Central,Eve,219
507,A,North,Alice,155
508,B,East,Bob,230
509,C,South,Carol,192
510,F,Central,Eve,235
511,D,West,David,200
512,F,Central,Eve,172
513,A,North,Alice,160
514,B,East,Bob,250
515,C,South,Carol,174
516,F,Central,Eve,204
517,D,West,David,274
518,F,Central,Eve,262
519,A,North,Alice,138
520,B,East,Bob,215
521,C,South,Carol,145
522,F,Central,Eve,149
523,D,West,David,212
524,F,Central,Eve,155
525,A,North,Alice,154
526,B,East,Bob,249
527,C,South,Carol,206
528,F,Central,Eve,235
529,D,West,David,261
530,F,Central,Eve,243
531,A,North,Alice,237
532,B,East,Bob,179
533,C,South,Carol,192
534,F,Central,Eve,141
535,D,West,David,245
536,F,Central,Eve,177
537,A,North,Alice,154
538,B,East,Bob,228
539,C,South,Carol,207
540,F,Central,Eve,266
541,D,West,David,172
542,F,Central,Eve,142
543,A,North,Alice,218
544,B,East,Bob,231
545,C,South,Carol,180
546,F,Central,Eve,168
547,D,West,David,147
548,F,Central,Eve,245
549,A,North,Alice,182
550,B,East,Bob,176
551,C,South,Carol,197
552,F,Central,Eve,233
553,D,West,David,156
554,F,Central,Eve,257
555,A,North,Alice,250
556,B,East,Bob,189
557,C,South,Carol,255
558,F,Central,Eve,198
559,D,West,David,164
560,F,Central,Eve,271
561,A,North,Alice,185
562,B,East,Bob,157
563,C,South,Carol,137
564,F,Central,Eve,229
565,D,West,David,234
566,F,Central,Eve,216
567,A,North,Alice,163
568,B,East,Bob,268
569,C,South,Carol,205
570,F,Central,Eve,265
571,D,West,David,236
572,F,Central,Eve,132
573,A,North,Alice,234
574,B,East,Bob,108
575,C,South,Carol,276
576,F,Central,Eve,179
577,D,West,David,230
578,F,Central,Eve,210
579,A,North,Alice,173
580,B,East,Bob,201
581,C,South,Carol,214
582,F,Central,Eve,216
583,D,West,David,144
584,F,Central,Eve,182
585,A,North,Alice,163
586,B,East,Bob,234
587,C,South,Carol,158
588,F,Central,Eve,194
589,D,West,David,201
590,F,Central,Eve,178
591,A,North,Alice,214
592,B,East,Bob,281
593,C,South,Carol,260
594,F,Central,Eve,200
595,D,West,David,209
596,F,Central,Eve,185
597,A,North,Alice,230
598,B,East,Bob,134
599,C,South,Carol,270
600,F,Central,Eve,140
601,D,West,David,133
602,F,Central,Eve,145
603,A,North,Alice,206
604,B,East,Bob,162
605,C,South,Carol,187
606,F,Central,Eve,166
607,D,West,David,178
608,F,Central,Eve,167
609,A,North,Alice,224
610,B,East,Bob,158
611,C,South,Carol,134
612,F,Central,Eve,147
613,D,West,David,187
614,F,Central,Eve,247
615,A,North,Alice,182
616,B,East,Bob,177
617,C,South,Carol,143
618,F,Central,Eve,245
619,D,West,David,133
620,F,Central,Eve,224
621,A,North,Alice,265
622,B,East,Bob,138
623,C,South,Carol,253
624,F,Central,Eve,165
625,D,West,David,265
626,F,Central,Eve,238
627,A,North,Alice,236
628,B,East,Bob,190
629,C,South,Carol,104
630,F,Central,Eve,245
631,D,West,David,155
632,F,Central,Eve,233
633,A,North,Alice,171
634,B,East,Bob,164
635,C,South,Carol,141
636,F,Central,Eve,266
637,D,West,David,192
638,F,Central,Eve,229
639,A,North,Alice,269
640,B,East,Bob,247
641,C,South,Carol,157
642,F,Central,Eve,148
643,D,West,David,240
644,F,Central,Eve,197
645,A,North,Alice,121
646,B,East,Bob,124
647,C,South,Carol,153
648,F,Central,Eve,105
649,D,West,David,202
650,F,Central,Eve,162
651,A,North,Alice,164
652,B,East,Bob,231
653,C,South,Carol,209
654,F,Central,Eve,157
655,D,West,David,249
656,F,Central,Eve,264
657,A,North,Alice,111
658,B,East,Bob,242
659,C,South,Carol,169
660,F,Central,Eve,138
661,D,West,David,158
662,F,Central,Eve,146
663,A,North,Alice,218
664,B,East,Bob,178
665,C,South,Carol,197
666,F,Central,Eve,243
667,D,West,David,254
668,F,Central,Eve,237
669,A,North,Alice,179
670,B,East,Bob,189
671,C,South,Carol,244
672,F,Central,Eve,266
673,D,West,David,263
674,F,Central,Eve,247
675,A,North,Alice,202
676,B,East,Bob,227
677,C,South,Carol,189
678,F,Central,Eve,160
679,D,West,David,117
680,F,Central,Eve,202
681,A,North,Alice,201
682,B,East,Bob,273
683,C,South,Carol,143
684,F,Central,Eve,137
685,D,West,David,236
686,F,Central,Eve,241
687,A,North,Alice,187
688,B,East,Bob,273
689,C,South,Carol,170
690,F,Central,Eve,138
691,D,West,David,150
692,F,Central,Eve,140
693,A,North,Alice,250
694,B,East,Bob,207
695,C,South,Carol,214
696,F,Central,Eve,179
697,D,West,David,149
698,F,Central,Eve,151
699,A,North,Alice,264
700,B,East,Bob,113
701,C,South,Carol,281
702,F,Central,Eve,197
703,D,West,David,265
704,F,Central,Eve,259
705,A,North,Alice,200
706,B,East,Bob,111
707,C,South,Carol,223
708,F,Central,Eve,241
709,D,West,David,139
710,F,Central,Eve,192
711,A,North,Alice,117
712,B,East,Bob,202
713,C,South,Carol,201
714,F,Central,Eve,273
715,D,West,David,143
716,F,Central,Eve,137
717,A,North,Alice,236
718,B,East,Bob,241
719,C,South,Carol,187
720,F,Central,Eve,273
721,D,West,David,170
722,F,Central,Eve,138
723,A,North,Alice,150
724,B,East,Bob,140
725,C,South,Carol,250
726,F,Central,Eve,207
727,D,West,David,214
728,F,Central,Eve,179
729,A,North,Alice,149
730,B,East,Bob,151
731,C,South,Carol,264
732,F,Central,Eve,113
733,D,West,David,281
734,F,Central,Eve,197
735,A,North,Alice,265
736,B,East,Bob,259
737,C,South,Carol,200
738,F,Central,Eve,111
739,D,West,David,223
740,F,Central,Eve,241
741,A,North,Alice,139
742,B,East,Bob,192
743,C,South,Carol,180
744,F,Central,Eve,153
745,D,West,David,280
746,F,Central,Eve,243
747,A,North,Alice,214
748,B,East,Bob,177
749,C,South,Carol,182
750,F,Central,Eve,185
751,D,West,David,143
752,F,Central,Eve,162
753,A,North,Alice,171
754,B,East,Bob,227
755,C,South,Carol,205
756,F,Central,Eve,258
757,D,West,David,195
758,F,Central,Eve,224
759,A,North,Alice,192
760,B,East,Bob,202
761,C,South,Carol,235
762,F,Central,Eve,218
763,D,West,David,176
764,F,Central,Eve,221
765,A,North,Alice,157
766,B,East,Bob,259
767,C,South,Carol,249
768,F,Central,Eve,263
769,D,West,David,141
770,F,Central,Eve,114
771,A,North,Alice,179
772,B,East,Bob,179
773,C,South,Carol,193
774,F,Central,Eve,137
775,D,West,David,110
776,F,Central,Eve,270
777,A,North,Alice,175
778,B,East,Bob,234
779,C,South,Carol,177
780,F,Central,Eve,153
781,D,West,David,252
782,F,Central,Eve,122
783,A,North,Alice,215
784,B,East,Bob,140
785,C,South,Carol,209
786,F,Central,Eve,144
787,D,West,David,210
788,F,Central,Eve,160
789,A,North,Alice,134
790,B,East,Bob,138
791,C,South,Carol,200
792,F,Central,Eve,133
793,D,West,David,121
794,F,Central,Eve,257
795,A,North,Alice,255
796,B,East,Bob,158
797,C,South,Carol,248
798,F,Central,Eve,194
799,D,West,David,184
800,F,Central,Eve,249
801,A,North,Alice,170
802,B,East,Bob,261
803,C,South,Carol,262
804,F,Central,Eve,224
805,D,West,David,130
806,F,Central,Eve,133
807,A,North,Alice,145
808,B,East,Bob,136
809,C,South,Carol,163
810,F,Central,Eve,183
811,D,West,David,216
812,F,Central,Eve,182
813,A,North,Alice,191
814,B,East,Bob,140
815,C,South,Carol,161
816,F,Central,Eve,200
817,D,West,David,176
818,F,Central,Eve,247
819,A,North,Alice,262
820,B,East,Bob,154
821,C,South,Carol,186
822,F,Central,Eve,98
823,D,West,David,268
824,F,Central,Eve,178
825,A,North,Alice,142
826,B,East,Bob,160
827,C,South,Carol,232
828,F,Central,Eve,209
829,D,West,David,230
830,F,Central,Eve,223
831,A,North,Alice,201
832,B,East,Bob,224
833,C,South,Carol,251
834,F,Central,Eve,145
835,D,West,David,271
836,F,Central,Eve,218
837,A,North,Alice,229
838,B,East,Bob,278
839,C,South,Carol,168
840,F,Central,Eve,151
841,D,West,David,232
842,F,Central,Eve,140
843,A,North,Alice,141
844,B,East,Bob,182
845,C,South,Carol,139
846,F,Central,Eve,145
847,D,West,David,140
848,F,Central,Eve,267
849,A,North,Alice,191
850,B,East,Bob,133
851,C,South,Carol,170
852,F,Central,Eve,170
853,D,West,David,149
854,F,Central,Eve,279
855,A,North,Alice,121
856,B,East,Bob,139
857,C,South,Carol,265
858,F,Central,Eve,239
859,D,West,David,119
860,F,Central,Eve,265
861,A,North,Alice,144
862,B,East,Bob,148
863,C,South,Carol,269
864,F,Central,Eve,188
865,D,West,David,187
866,F,Central,Eve,168
867,A,North,Alice,199
868,B,East,Bob,261
869,C,South,Carol,218
870,F,Central,Eve,196
871,D,West,David,147
872,F,Central,Eve,208
873,A,North,Alice,178
874,B,East,Bob,197
875,C,South,Carol,206
876,F,Central,Eve,222
877,D,West,David,247
878,F,Central,Eve,222
879,A,North,Alice,205
880,B,East,Bob,244
881,C,South,Carol,194
882,F,Central,Eve,190
883,D,West,David,169
884,F,Central,Eve,251
885,A,North,Alice,161
886,B,East,Bob,252
887,C,South,Carol,271
888,F,Central,Eve,150
889,D,West,David,212
890,F,Central,Eve,198
891,A,North,Alice,266
892,B,East,Bob,255
893,C,South,Carol,166
894,F,Central,Eve,232
895,D,West,David,198
896,F,Central,Eve,170
897,A,North,Alice,162
898,B,East,Bob,135
899,C,South,Carol,242
900,F,Central,Eve,206
901,D,West,David,253
902,F,Central,Eve,208
903,A,North,Alice,250
904,B,East,Bob,143
905,C,South,Carol,236
906,F,Central,Eve,147
907,D,West,David,113
908,F,Central,Eve,165
909,A,North,Alice,235
910,B,East,Bob,186
911,C,South,Carol,274
912,F,Central,Eve,163
913,D,West,David,161
914,F,Central,Eve,264
915,A,North,Alice,255
916,B,East,Bob,258
917,C,South,Carol,261
918,F,Central,Eve,188
919,D,West,David,188
920,F,Central,Eve,160
921,A,North,Alice,214
922,B,East,Bob,209
923,C,South,Carol,208
924,F,Central,Eve,265
925,D,West,David,161
926,F,Central,Eve,217
927,A,North,Alice,210
928,B,East,Bob,179
929,C,South,Carol,180
930,F,Central,Eve,153
931,D,West,David,162
932,F,Central,Eve,135
933,A,North,Alice,242
934,B,East,Bob,206
935,C,South,Carol,253
936,F,Central,Eve,208
937,D,West,David,250
938,F,Central,Eve,143
939,A,North,Alice,236
940,B,East,Bob,147
941,C,South,Carol,113
942,F,Central,Eve,165
943,D,West,David,235
944,F,Central,Eve,186
945,A,North,Alice,274
946,B,East,Bob,163
947,C,South,Carol,161
948,F,Central,Eve,264
949,D,West,David,255
950,F,Central,Eve,258
951,A,North,Alice,261
952,B,East,Bob,188
953,C,South,Carol,188
954,F,Central,Eve,160
955,D,West,David,214
956,F,Central,Eve,209
957,A,North,Alice,208
958,B,East,Bob,265
959,C,South,Carol,161
960,F,Central,Eve,217
961,D,West,David,210
962,F,Central,Eve,179
963,A,North,Alice,180
964,B,East,Bob,158
965,C,South,Carol,291
966,F,Central,Eve,231
967,D,West,David,163
968,F,Central,Eve,146
969,A,North,Alice,272
970,B,East,Bob,121
971,C,South,Carol,118
972,F,Central,Eve,173
973,D,West,David,243
974,F,Central,Eve,229
975,A,North,Alice,96
976,B,East,Bob,249
977,C,South,Carol,165
978,F,Central,Eve,223
979,D,West,David,267
980,F,Central,Eve,140
981,A,North,Alice,209
982,B,East,Bob,243
983,C,South,Carol,175
984,F,Central,Eve,133
985,D,West,David,167
986,F,Central,Eve,172
987,A,North,Alice,257
988,B,East,Bob,202
989,C,South,Carol,223
990,F,Central,Eve,182
991,D,West,David,234
992,F,Central,Eve,140
993,A,North,Alice,136
994,B,East,Bob,210
995,C,South,Carol,259
996,F,Central,Eve,141
997,D,West,David,151
998,F,Central,Eve,164
999,A,North,Alice,141
1000,B,East,Bob,271
1001,C,South,Carol,191
1002,F,Central,Eve,181
1003,D,West,David,241
1004,F,Central,Eve,254
1005,A,North,Alice,146
1006,B,East,Bob,271
1007,C,South,Carol,185
1008,F,Central,Eve,170
1009,D,West,David,265
1010,F,Central,Eve,142
1011,A,North,Alice,228
1012,B,East,Bob,262
1013,C,South,Carol,205
1014,F,Central,Eve,178
1015,D,West,David,153
1016,F,Central,Eve,186
1017,A,North,Alice,167
1018,B,East,Bob,148
1019,C,South,Carol,167
1020,F,Central,Eve,261
1021,D,West,David,166
1022,F,Central,Eve,226
1023,A,North,Alice,260
1024,B,East,Bob,246
1025,C,South,Carol,221
1026,F,Central,Eve,191
1027,D,West,David,138
1028,F,Central,Eve,146
1029,A,North,Alice,193
1030,B,East,Bob,229
1031,C,South,Carol,239
1032,F,Central,Eve,103
1033,D,West,David,254
1034,F,Central,Eve,198
1035,A,North,Alice,208
1036,B,East,Bob,253
1037,C,South,Carol,261
1038,F,Central,Eve,156
1039,D,West,David,97
1040,F,Central,Eve,275
1041,A,North,Alice,189
1042,B,East,Bob,236
1043,C,South,Carol,170
1044,F,Central,Eve,251
1045,D,West,David,205
1046,F,Central,Eve,135
1047,A,North,Alice,231
1048,B,East,Bob,257
1049,C,South,Carol,162
1050,F,Central,Eve,237
1051,D,West,David,134
1052,F,Central,Eve,163
1053,A,North,Alice,264
1054,B,East,Bob,173
1055,C,South,Carol,191
1056,F,Central,Eve,152
1057,D,West,David,272
1058,F,Central,Eve,198
1059,A,North,Alice,260
1060,B,East,Bob,158
1061,C,South,Carol,252
1062,F,Central,Eve,199
1063,D,West,David,272
1064,F,Central,Eve,209
1065,A,North,Alice,147
1066,B,East,Bob,166
1067,C,South,Carol,165
1068,F,Central,Eve,162
1069,D,West,David,255
1070,F,Central,Eve,179
1071,A,North,Alice,250
1072,B,East,Bob,251
1073,C,South,Carol,198
1074,F,Central,Eve,148
1075,D,West,David,268
1076,F,Central,Eve,239
1077,A,North,Alice,195
1078,B,East,Bob,252
1079,C,South,Carol,272
1080,F,Central,Eve,141
1081,D,West,David,224
1082,F,Central,Eve,270
1083,A,North,Alice,236
1084,B,East,Bob,227
1085,C,South,Carol,262
1086,F,Central,Eve,228
1087,D,West,David,176
1088,F,Central,Eve,147
1089,A,North,Alice,196
1090,B,East,Bob,112
1091,C,South,Carol,221
1092,F,Central,Eve,154
1093,D,West,David,200
1094,F,Central,Eve,216
1095,A,North,Alice,185
1096,B,East,Bob,199
1097,C,South,Carol,265
1098,F,Central,Eve,263
1099,D,West,David,181
1100,F,Central,Eve,163
1101,A,North,Alice,260
1102,B,East,Bob,159
1103,C,South,Carol,227
1104,F,Central,Eve,104
1105,D,West,David,188
1106,F,Central,Eve,202
1107,A,North,Alice,213
1108,B,East,Bob,211
1109,C,South,Carol,232
1110,F,Central,Eve,143
1111,D,West,David,196
1112,F,Central,Eve,150
1113,A,North,Alice,222
1114,B,East,Bob,203
1115,C,South,Carol,178
1116,F,Central,Eve,272
1117,D,West,David,182
1118,F,Central,Eve,205
1119,A,North,Alice,171
1120,B,East,Bob,172
1121,C,South,Carol,210
1122,F,Central,Eve,264
1123,D,West,David,181
1124,F,Central,Eve,240
1125,A,North,Alice,140
1126,B,East,Bob,283
1127,C,South,Carol,263
1128,F,Central,Eve,136
1129,D,West,David,145
1130,F,Central,Eve,162
1131,A,North,Alice,230
1132,B,East,Bob,148
1133,C,South,Carol,175
1134,F,Central,Eve,227
1135,D,West,David,177
1136,F,Central,Eve,257
1137,A,North,Alice,198
1138,B,East,Bob,251
1139,C,South,Carol,158
1140,F,Central,Eve,171
1141,D,West,David,260
1142,F,Central,Eve,263
1143,A,North,Alice,269
1144,B,East,Bob,224
1145,C,South,Carol,118
1146,F,Central,Eve,186
1147,D,West,David,191
1148,F,Central,Eve,174
1149,A,North,Alice,140
